Primary Estimate	Secondary Estimate	Secondary Estimate Study	study id	study name	study identifier	outcome name	outcome.mean	outcome system	outcome effect	outcome effect subtype	diagnostic	age of outcome measurement	comparison set id	comparison set name	exposure id	exposure name	exposure metric	exposure measured	dose units	exposure.median.or.gm	age of exposure	result id	result name	result population description	statistical metric	statistical metric abbreviation	statistical metric description	result summary	dose response	statistical power	CI units	exposure group order	exposure group name	exposure group comparison name	exposure group numeric	key	result group id	N	estimate	lower CI	upper CI	variance	statistical significance	statistical significance (numeric)	main finding	main finding support
TRUE	FALSE	Bornehag et al. 2015	173428	Bornehag et al. 2015		AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2104	continuous sum DEHP metabolites (log transformed)	1211	sum DEHP metabolites	maternal urine	4 DEHP metabolites	nmol/l	148.13	in utero	4968	AGDas:sum DEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12443	12443	196	-1.16	-4.01	1.68		0.42	0.42	FALSE	not-reported
FALSE	TRUE	Bornehag et al. 2015	173428	Bornehag et al. 2015		AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2100	continuous MEHP (log transformed)	1207	MEHP (DEHP metabolite)	maternal urine	MEHP	ng/mL	3.3	in utero	4964	AGDas:MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12439	12439	196	-1.28	-3.74	1.17		0.304	0.304	FALSE	not-reported
FALSE	TRUE	Bornehag et al. 2015	173428	Bornehag et al. 2015		AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2102	continuous 5oxo-MEHP (log transformed)	1209	5oxo-MEHP (DEHP metabolite)	maternal urine	5oxo-MEHP	ng/mL	9.99	in utero	4966	AGDas:5oxo-MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12441	12441	196	-0.77	-3.48	1.94		0.576	0.576	FALSE	not-reported
FALSE	TRUE	Bornehag et al. 2015	173428	Bornehag et al. 2015		AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2101	continuous 5OH-MEHP (log transformed)	1208	5OH-MEHP (DEHP metabolite)	maternal urine	5OH-MEHP	ng/mL	15.28	in utero	4965	AGDas:5OH-MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12440	12440	196	-1.24	-3.99	1.51		0.374	0.374	FALSE	not-reported
FALSE	TRUE	Bornehag et al. 2015	173428	Bornehag et al. 2015		AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2103	continuous 5carboxy-MEPP (log transformed)	1210	5carboxy-MEPP (DEHP metabolite)	maternal urine	5cx-MEPP	ng/mL	14.53	in utero	4967	AGDas:5carboxy-MEPP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12442	12442	196	-0.89	-3.69	1.92		0.534	0.534	FALSE	not-reported
FALSE	TRUE	Bornehag et al. 2015	173428	Bornehag et al. 2015		AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2104	continuous sum DEHP metabolites (log transformed)	1211	sum DEHP metabolites	maternal urine	4 DEHP metabolites	nmol/l	148.13	in utero	4989	AGDap:sum DEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12464	12464	196	-1.39	-4.49	1.7		0.375	0.375	FALSE	not-reported
FALSE	TRUE	Bornehag et al. 2015	173428	Bornehag et al. 2015		AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2100	continuous MEHP (log transformed)	1207	MEHP (DEHP metabolite)	maternal urine	MEHP	ng/mL	3.3	in utero	4982	AGDap:MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12457	12457	196	-1.74	-4.43	0.95		0.203	0.203	FALSE	not-reported
FALSE	TRUE	Bornehag et al. 2015	173428	Bornehag et al. 2015		AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2102	continuous 5oxo-MEHP (log transformed)	1209	5oxo-MEHP (DEHP metabolite)	maternal urine	5oxo-MEHP	ng/mL	9.99	in utero	4984	AGDap:5oxo-MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12459	12459	196	-1.25	-4.19	1.7		0.406	0.406	FALSE	not-reported
FALSE	TRUE	Bornehag et al. 2015	173428	Bornehag et al. 2015		AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2101	continuous 5OH-MEHP (log transformed)	1208	5OH-MEHP (DEHP metabolite)	maternal urine	5OH-MEHP	ng/mL	15.28	in utero	4983	AGDap:5OH-MEHP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12458	12458	196	-1.5	-4.5	1.49		0.324	0.324	FALSE	not-reported
FALSE	TRUE	Bornehag et al. 2015	173428	Bornehag et al. 2015		AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2103	continuous 5carboxy-MEPP (log transformed)	1210	5carboxy-MEPP (DEHP metabolite)	maternal urine	5cx-MEPP	ng/mL	14.53	in utero	4987	AGDap:5carboxy-MEPP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12462	12462	196	-0.64	-3.69	2.4		0.677	0.677	FALSE	not-reported
