study id	Exclude	Exclude Reason	study name	study identifier	study published	experiment id	experiment name	chemical	animal group id	animal group name	lifestage exposed	lifestage assessed	species	species strain	strain.abbr	generation	animal description	animal description (with N)	sex	route	treatment period	duration exposure	endpoint id	endpoint name	system	organ	effect	effect subtype	diagnostic	tags	observation time	data type	doses	dose units	response units	expected adversity direction	maximum endpoint change	low_dose	NOEL	LOEL	FEL	high_dose	key	dose index	dose	N	incidence	response	stdev	lower_ci	upper_ci	pairwise significant	percent control mean	percent control low	percent control high
173454	FALSE		Christiansen et al. 2009		FALSE	1199	Developmental toxicity	DEHP	2256	Wistar rat	GD 7 - PND 16	PND 16	Rat	Rat Wistar	W	F1	F1 Rat, Wistar (♂)	F1 Rat, Wistar (♂, N=21-46)	Male	oral gavage	developmental (GD 7 to PND 16)	GD 7 to PND 16	23171	Hypospadias (% animals affected)			Hypospadias (% animals affected)				PND 16	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	% animals affected	0	0	10				900	35627	0	0	46	0	0				FALSE			
173454	FALSE		Christiansen et al. 2009		FALSE	1199	Developmental toxicity	DEHP	2256	Wistar rat	GD 7 - PND 16	PND 16	Rat	Rat Wistar	W	F1	F1 Rat, Wistar (♂)	F1 Rat, Wistar (♂, N=21-46)	Male	oral gavage	developmental (GD 7 to PND 16)	GD 7 to PND 16	23171	Hypospadias (% animals affected)			Hypospadias (% animals affected)				PND 16	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	% animals affected	0	0	10				900	35628	1	10	28	0	0				FALSE			
173454	FALSE		Christiansen et al. 2009		FALSE	1199	Developmental toxicity	DEHP	2256	Wistar rat	GD 7 - PND 16	PND 16	Rat	Rat Wistar	W	F1	F1 Rat, Wistar (♂)	F1 Rat, Wistar (♂, N=21-46)	Male	oral gavage	developmental (GD 7 to PND 16)	GD 7 to PND 16	23171	Hypospadias (% animals affected)			Hypospadias (% animals affected)				PND 16	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	% animals affected	0	0	10				900	35629	2	30	26	0	0				FALSE			
173454	FALSE		Christiansen et al. 2009		FALSE	1199	Developmental toxicity	DEHP	2256	Wistar rat	GD 7 - PND 16	PND 16	Rat	Rat Wistar	W	F1	F1 Rat, Wistar (♂)	F1 Rat, Wistar (♂, N=21-46)	Male	oral gavage	developmental (GD 7 to PND 16)	GD 7 to PND 16	23171	Hypospadias (% animals affected)			Hypospadias (% animals affected)				PND 16	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	% animals affected	0	0	10				900	35630	3	100	23	0	0				FALSE			
173454	FALSE		Christiansen et al. 2009		FALSE	1199	Developmental toxicity	DEHP	2256	Wistar rat	GD 7 - PND 16	PND 16	Rat	Rat Wistar	W	F1	F1 Rat, Wistar (♂)	F1 Rat, Wistar (♂, N=21-46)	Male	oral gavage	developmental (GD 7 to PND 16)	GD 7 to PND 16	23171	Hypospadias (% animals affected)			Hypospadias (% animals affected)				PND 16	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	% animals affected	0	0	10				900	35631	4	300	21	1	4.8				FALSE			
173454	FALSE		Christiansen et al. 2009		FALSE	1199	Developmental toxicity	DEHP	2256	Wistar rat	GD 7 - PND 16	PND 16	Rat	Rat Wistar	W	F1	F1 Rat, Wistar (♂)	F1 Rat, Wistar (♂, N=21-46)	Male	oral gavage	developmental (GD 7 to PND 16)	GD 7 to PND 16	23171	Hypospadias (% animals affected)			Hypospadias (% animals affected)				PND 16	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	% animals affected	0	0	10				900	35632	5	600	23	0	0				FALSE			
173454	FALSE		Christiansen et al. 2009		FALSE	1199	Developmental toxicity	DEHP	2256	Wistar rat	GD 7 - PND 16	PND 16	Rat	Rat Wistar	W	F1	F1 Rat, Wistar (♂)	F1 Rat, Wistar (♂, N=21-46)	Male	oral gavage	developmental (GD 7 to PND 16)	GD 7 to PND 16	23171	Hypospadias (% animals affected)			Hypospadias (% animals affected)				PND 16	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	% animals affected	0	0	10				900	35633	6	900	26	0	0				FALSE			
174393	FALSE		Barlow et al. 2004		FALSE	1212	Developmental toxicity	DBP	2269	Sprague Dawley rats	GD 12 to 21	PND 1, PND 180	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=10-11)	Male	oral gavage	developmental		23267	Hypospadias (% animals affected)			Hypospadias (% animals affected)				PND 180	Continuous	0.0, 100.0, 500.0 mg/kg-day	mg/kg-day	% animals affected	0	0	100				500	35807	0	0	10	0	0				FALSE			
174393	FALSE		Barlow et al. 2004		FALSE	1212	Developmental toxicity	DBP	2269	Sprague Dawley rats	GD 12 to 21	PND 1, PND 180	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=10-11)	Male	oral gavage	developmental		23267	Hypospadias (% animals affected)			Hypospadias (% animals affected)				PND 180	Continuous	0.0, 100.0, 500.0 mg/kg-day	mg/kg-day	% animals affected	0	0	100				500	35808	1	100	10	0	0				FALSE			
174393	FALSE		Barlow et al. 2004		FALSE	1212	Developmental toxicity	DBP	2269	Sprague Dawley rats	GD 12 to 21	PND 1, PND 180	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=10-11)	Male	oral gavage	developmental		23267	Hypospadias (% animals affected)			Hypospadias (% animals affected)				PND 180	Continuous	0.0, 100.0, 500.0 mg/kg-day	mg/kg-day	% animals affected	0	0	100				500	35809	2	500	11	2	16				TRUE			
